Age,Income,EmploymentType,ResidenceType,CreditScore,LoanAmount,LoanTerm,PreviousDefault,PredictedRisk
42,54911,1.0,0.0,638,35502,60,0,Medium Risk
37,79031,0.0,,584,21724,48,0,Medium Risk
66,108726,0.0,0.0,571,8828,36,0,High Risk
39,27357,1.0,0.0,583,22087,12,0,Medium Risk
68,52479,0.0,,663,17605,48,1,High Risk
45,81476,1.0,0.0,646,36337,24,0,Medium Risk
47,64811,1.0,0.0,575,10482,60,0,High Risk
46,56208,0.0,1.0,682,32005,60,0,Medium Risk
66,40150,1.0,,718,27760,48,0,Medium Risk
62,91180,0.0,,620,10463,60,0,Medium Risk
50,63286,1.0,0.0,562,9912,12,1,High Risk
36,132856,1.0,0.0,614,9648,48,0,Medium Risk
66,88450,0.0,1.0,692,38623,36,0,Medium Risk
22,41352,0.0,1.0,677,40634,60,0,Medium Risk
46,75069,1.0,1.0,603,49602,24,0,Medium Risk
28,131888,0.0,1.0,726,8112,48,0,Low Risk
30,130448,0.0,1.0,717,27054,60,0,Low Risk
45,34397,0.0,,613,9492,12,0,Medium Risk
22,61555,0.0,0.0,612,27207,36,0,Medium Risk
65,66959,0.0,1.0,620,20114,48,0,Medium Risk
29,20728,0.0,0.0,624,39285,36,0,Medium Risk
45,70517,0.0,1.0,697,21018,24,0,Medium Risk
32,139180,,,671,26386,24,1,High Risk
38,86234,0.0,,693,22740,24,0,Medium Risk
29,59954,0.0,1.0,683,49199,60,0,Medium Risk
56,67280,0.0,0.0,735,13210,36,0,Low Risk
56,99459,0.0,,597,49363,12,0,Medium Risk
54,36779,0.0,0.0,669,17743,36,0,Medium Risk
26,83932,,1.0,541,47092,36,0,High Risk
63,92936,1.0,0.0,584,49299,24,0,Medium Risk
60,44466,0.0,1.0,646,11588,36,0,Medium Risk
62,56939,1.0,0.0,670,8311,36,1,High Risk
49,89896,1.0,0.0,644,27432,36,0,Medium Risk
28,55270,0.0,1.0,621,38755,48,0,Medium Risk
30,79163,1.0,,630,8321,24,0,Medium Risk
29,102637,1.0,0.0,718,20812,48,0,Medium Risk
33,71934,0.0,0.0,630,42383,36,0,Medium Risk
55,84895,0.0,,737,18146,36,0,Low Risk
54,52307,1.0,0.0,689,18654,48,0,Medium Risk
69,74098,1.0,0.0,672,40820,36,0,Medium Risk
44,80921,0.0,0.0,590,5726,60,0,Medium Risk
45,25486,1.0,0.0,696,8760,48,0,Medium Risk
58,28335,1.0,0.0,625,27190,36,0,Medium Risk
56,106900,1.0,1.0,590,6875,60,0,Medium Risk
65,146020,1.0,1.0,675,28377,48,0,Medium Risk
61,141954,1.0,1.0,580,9033,24,0,Medium Risk
43,122795,0.0,0.0,611,43211,24,0,Medium Risk
48,109112,0.0,0.0,649,22373,24,0,Medium Risk
56,117203,,1.0,760,8744,60,0,Medium Risk
22,31130,1.0,0.0,615,29995,48,1,High Risk
56,107508,0.0,0.0,627,21977,60,0,Medium Risk
58,125955,0.0,1.0,686,37402,48,0,Medium Risk
68,138324,,1.0,588,39542,36,1,High Risk
35,80566,0.0,1.0,672,15651,12,0,Medium Risk
24,86703,1.0,,710,38703,48,0,Medium Risk
22,47192,1.0,1.0,634,18395,36,1,High Risk
26,21062,,,701,34808,60,0,Medium Risk
47,104076,0.0,,664,41576,24,0,Medium Risk
35,109780,0.0,1.0,613,21715,36,0,Medium Risk
60,41545,0.0,1.0,640,49409,48,0,Medium Risk
48,41689,0.0,,631,29306,48,0,Medium Risk
30,31174,0.0,0.0,645,24086,36,0,Medium Risk
36,108461,0.0,1.0,657,19376,48,0,Medium Risk
36,146174,0.0,0.0,679,10889,24,0,Medium Risk
47,123033,0.0,0.0,675,42822,48,0,Medium Risk
63,29348,0.0,,528,41636,48,0,High Risk
34,43714,0.0,1.0,645,25584,60,0,Medium Risk
53,58102,0.0,,574,39610,60,0,High Risk
60,94460,1.0,1.0,636,15058,36,0,Medium Risk
53,122634,,1.0,643,14101,24,0,Medium Risk
25,109930,0.0,1.0,698,17497,60,0,Medium Risk
51,26801,1.0,1.0,648,9658,36,0,Medium Risk
58,123150,0.0,1.0,662,16381,60,1,High Risk
44,92267,1.0,,689,45312,24,0,Medium Risk
60,68136,0.0,1.0,711,45486,48,0,Low Risk
66,43625,1.0,1.0,643,22154,60,0,Medium Risk
36,102873,1.0,1.0,654,24539,60,0,Medium Risk
64,120843,1.0,1.0,650,16777,36,0,Medium Risk
50,92592,1.0,0.0,622,39396,48,0,Medium Risk
57,97052,0.0,,611,35373,36,0,Medium Risk
34,64261,0.0,1.0,536,38154,12,1,High Risk
53,21542,1.0,1.0,596,11031,48,0,Medium Risk
28,41677,0.0,1.0,561,32997,48,0,High Risk
43,66732,1.0,0.0,712,11439,60,0,Medium Risk
49,70343,0.0,0.0,659,27785,36,0,Medium Risk
23,59081,0.0,1.0,643,18392,24,0,Medium Risk
63,82856,0.0,0.0,614,33669,12,0,Medium Risk
66,113105,0.0,0.0,651,33939,36,0,Medium Risk
27,108858,,0.0,607,7282,36,0,Medium Risk
49,39065,0.0,0.0,658,39624,48,0,Medium Risk
49,144097,0.0,0.0,662,29364,36,0,Medium Risk
65,103460,0.0,,606,6998,60,0,Medium Risk
65,108092,0.0,,605,36705,60,0,Medium Risk
41,146116,1.0,1.0,698,43244,48,0,Medium Risk
51,74693,0.0,,647,14428,60,0,Medium Risk
32,46962,0.0,1.0,610,42437,48,0,Medium Risk
49,48295,0.0,1.0,631,17336,36,0,Medium Risk
46,33807,1.0,1.0,599,14342,24,0,Medium Risk
60,62348,0.0,0.0,646,44832,36,0,Medium Risk
54,46432,1.0,0.0,691,12446,36,0,Medium Risk
22,103285,1.0,,648,43392,60,1,High Risk
48,126995,0.0,1.0,768,12461,36,0,Low Risk
34,111792,0.0,0.0,671,39587,60,0,Medium Risk
62,77854,0.0,,661,15516,48,0,Medium Risk
24,60262,0.0,0.0,604,18749,24,0,Medium Risk
60,57080,,1.0,638,22514,60,0,Medium Risk
27,21324,1.0,1.0,611,40426,36,0,Medium Risk
29,111267,0.0,0.0,541,41268,36,1,High Risk
48,144707,0.0,1.0,698,29950,48,0,Medium Risk
30,55909,0.0,1.0,624,39888,24,0,Medium Risk
58,109339,1.0,0.0,611,41788,48,1,High Risk
54,39870,0.0,,660,15213,36,0,Medium Risk
63,54578,0.0,1.0,675,41027,36,0,Medium Risk
65,92124,1.0,0.0,633,33011,60,1,High Risk
45,137611,1.0,,649,47849,36,0,Medium Risk
36,123605,0.0,0.0,687,39591,24,1,High Risk
53,46790,,1.0,631,22858,36,0,Medium Risk
53,138874,1.0,1.0,665,23626,60,0,Medium Risk
45,45289,0.0,1.0,567,18467,24,0,High Risk
62,75129,0.0,1.0,587,44758,24,0,Medium Risk
33,113714,0.0,0.0,680,8134,12,0,Medium Risk
60,114246,0.0,0.0,585,21743,12,0,Medium Risk
23,35485,1.0,1.0,661,20434,60,0,Medium Risk
24,64482,1.0,0.0,642,15233,48,0,Medium Risk
58,106188,0.0,1.0,631,6141,36,0,Medium Risk
38,24748,0.0,1.0,608,23019,48,1,High Risk
23,106769,0.0,1.0,695,25384,36,0,Medium Risk
23,29435,0.0,1.0,736,47903,60,1,High Risk
49,23709,1.0,1.0,665,41129,60,0,Medium Risk
44,143961,0.0,0.0,666,27967,36,0,Medium Risk
58,50355,0.0,1.0,615,45603,60,0,Medium Risk
53,75771,0.0,,590,16172,48,0,Medium Risk
54,77799,,,648,21390,36,0,Medium Risk
22,33116,0.0,1.0,601,8267,24,1,High Risk
40,45470,1.0,0.0,561,44332,36,0,High Risk
23,62344,0.0,1.0,690,31167,48,0,Medium Risk
65,62918,1.0,1.0,692,26312,60,0,Medium Risk
47,72224,,1.0,607,32840,48,0,Medium Risk
53,59298,0.0,1.0,662,23990,60,0,Medium Risk
27,128492,0.0,1.0,700,49179,48,0,Low Risk
53,100219,1.0,1.0,660,10906,60,0,Medium Risk
25,81629,1.0,0.0,590,45379,48,1,High Risk
32,86040,0.0,0.0,638,22297,36,1,High Risk
38,119518,0.0,1.0,716,7011,36,1,High Risk
59,119835,1.0,,662,49014,60,0,Medium Risk
45,48016,0.0,,676,16738,12,0,Medium Risk
26,43960,0.0,,667,33797,60,0,Medium Risk
55,53591,1.0,1.0,607,16120,24,0,Medium Risk
27,102848,0.0,1.0,618,13767,36,0,Medium Risk
43,123333,0.0,1.0,666,27852,60,0,Medium Risk
32,131732,0.0,1.0,690,18703,24,0,Medium Risk
69,134821,0.0,,704,5929,24,1,High Risk
37,87641,0.0,1.0,607,16951,36,0,Medium Risk
54,56395,1.0,1.0,671,31039,60,0,Medium Risk
30,131276,0.0,1.0,709,34504,12,0,Low Risk
27,149695,0.0,1.0,600,22438,60,0,Medium Risk
37,42700,0.0,0.0,724,10744,24,0,Medium Risk
50,54620,0.0,,731,23284,60,0,Low Risk
24,123214,1.0,0.0,781,47417,60,1,High Risk
41,148148,0.0,1.0,661,44748,36,0,Medium Risk
57,40559,0.0,0.0,661,12069,36,0,Medium Risk
40,113045,1.0,1.0,691,47359,36,0,Medium Risk
47,113396,0.0,0.0,689,24799,48,0,Medium Risk
24,81642,0.0,0.0,706,38210,12,0,Low Risk
40,96539,0.0,1.0,689,33226,12,0,Medium Risk
41,41732,0.0,1.0,644,9652,12,0,Medium Risk
53,148675,0.0,1.0,711,29323,36,0,Low Risk
28,111362,0.0,1.0,596,47138,24,0,Medium Risk
62,50354,1.0,,650,12597,48,0,Medium Risk
54,33843,0.0,1.0,728,42226,60,0,Medium Risk
61,130008,0.0,1.0,587,11591,36,0,Medium Risk
60,134065,,1.0,616,30833,36,1,High Risk
39,91726,0.0,0.0,683,16826,36,0,Medium Risk
61,37640,1.0,1.0,669,31417,60,0,Medium Risk
22,72528,0.0,0.0,606,23693,60,0,Medium Risk
32,58413,0.0,1.0,629,19138,60,0,Medium Risk
49,148142,1.0,1.0,590,7169,60,0,Medium Risk
46,72638,0.0,1.0,699,23556,12,0,Medium Risk
44,72736,0.0,1.0,637,27052,60,0,Medium Risk
52,127892,0.0,0.0,739,11313,48,1,High Risk
51,130133,0.0,1.0,654,13315,24,0,Medium Risk
63,126357,1.0,0.0,639,13036,60,0,Medium Risk
56,88866,0.0,1.0,634,36778,24,0,Medium Risk
28,39087,0.0,1.0,637,32734,48,0,Medium Risk
37,61430,0.0,1.0,655,28173,24,0,Medium Risk
47,44504,1.0,1.0,775,35403,36,0,Medium Risk
69,27114,0.0,1.0,633,5785,48,0,Medium Risk
23,98859,1.0,1.0,634,11139,36,0,Medium Risk
22,119657,0.0,,653,11344,36,0,Medium Risk
69,30975,1.0,1.0,704,23800,36,0,Medium Risk
33,31023,1.0,,578,30372,60,0,High Risk
26,41447,1.0,1.0,672,25538,24,0,Medium Risk
58,110469,1.0,1.0,609,19973,36,0,Medium Risk
53,145899,0.0,1.0,677,10619,60,0,Medium Risk
30,43959,0.0,1.0,625,39704,60,0,Medium Risk
62,86203,0.0,,534,41575,36,1,High Risk
56,139156,0.0,1.0,668,44919,48,0,Medium Risk
40,49703,0.0,1.0,668,47261,60,0,Medium Risk
69,29337,0.0,1.0,621,32716,60,0,Medium Risk
37,66427,0.0,0.0,618,8236,36,0,Medium Risk
24,141507,0.0,,584,20848,24,0,Medium Risk
41,81529,1.0,1.0,688,7352,24,0,Medium Risk
45,122023,0.0,1.0,694,6932,24,0,Medium Risk
54,104665,1.0,1.0,606,15913,36,1,High Risk
45,125787,1.0,1.0,623,13556,12,0,Medium Risk
32,51921,1.0,1.0,646,26300,48,0,Medium Risk
29,53307,,0.0,763,10498,36,0,Medium Risk
57,47355,1.0,1.0,677,15582,24,0,Medium Risk
59,123268,1.0,1.0,602,14569,60,0,Medium Risk
61,147016,1.0,1.0,665,9857,36,0,Medium Risk
41,24835,0.0,1.0,581,5340,12,0,Medium Risk
56,40159,0.0,,685,48949,60,0,Medium Risk
69,124346,0.0,1.0,733,21766,12,0,Low Risk
46,67605,0.0,1.0,733,31132,48,0,Low Risk
56,141790,,0.0,686,13491,48,0,Medium Risk
46,125616,1.0,1.0,620,5138,36,0,Medium Risk
50,58088,1.0,1.0,584,5358,60,0,Medium Risk
39,98752,0.0,1.0,579,14714,36,0,High Risk
67,75284,1.0,1.0,509,24840,36,0,High Risk
39,77043,,1.0,684,39395,12,1,High Risk
23,145388,1.0,1.0,644,35654,24,0,Medium Risk
56,55547,1.0,0.0,695,30879,60,0,Medium Risk
37,117007,,0.0,721,20996,36,0,Medium Risk
62,102844,0.0,1.0,654,42772,36,0,Medium Risk
57,47532,1.0,0.0,657,31762,36,0,Medium Risk
54,54349,0.0,1.0,626,18283,36,0,Medium Risk
25,142402,0.0,1.0,632,44420,12,0,Medium Risk
54,138012,1.0,,686,24554,36,0,Medium Risk
35,65445,0.0,0.0,641,25219,48,0,Medium Risk
42,25713,1.0,,634,39919,24,1,High Risk
69,76178,0.0,1.0,649,14429,24,0,Medium Risk
41,69407,1.0,,694,49695,12,0,Medium Risk
29,90340,0.0,1.0,615,44673,36,0,Medium Risk
28,70990,1.0,1.0,646,24218,60,0,Medium Risk
24,95672,1.0,,662,17452,12,0,Medium Risk
38,149473,0.0,,708,23951,24,0,Low Risk
54,85545,0.0,,638,6307,36,0,Medium Risk
69,104791,1.0,1.0,614,19852,48,0,Medium Risk
33,78141,0.0,1.0,625,30232,48,1,High Risk
43,43793,0.0,1.0,702,40428,36,1,High Risk
43,76570,0.0,1.0,751,48171,48,0,Low Risk
67,115084,0.0,1.0,584,31485,48,1,High Risk
51,57892,1.0,,595,15238,60,1,High Risk
59,21015,,1.0,641,43975,60,0,Medium Risk
59,144704,0.0,0.0,655,6140,24,0,Medium Risk
66,81813,0.0,1.0,689,29842,24,0,Medium Risk
29,47712,,1.0,605,31421,24,1,High Risk
48,120497,0.0,1.0,596,6708,36,0,Medium Risk
48,28415,0.0,1.0,656,8630,60,1,High Risk
55,131854,1.0,1.0,637,24595,36,0,Medium Risk
42,132816,,,696,15485,24,0,Medium Risk
51,148778,,,674,33308,48,0,Medium Risk
54,82292,1.0,,677,49789,36,0,Medium Risk
49,43833,0.0,0.0,644,31086,24,1,High Risk
68,24158,1.0,0.0,767,21859,36,0,Medium Risk
54,82680,0.0,,608,12684,36,0,Medium Risk
26,40309,0.0,,680,30552,48,0,Medium Risk
69,26970,0.0,0.0,586,6207,12,1,High Risk
40,92474,0.0,,596,6960,24,0,Medium Risk
25,106704,1.0,1.0,619,5557,36,0,Medium Risk
56,66540,0.0,0.0,731,34689,24,0,Low Risk
38,40384,0.0,1.0,663,18893,48,0,Medium Risk
65,38017,0.0,1.0,620,37272,36,0,Medium Risk
49,95880,0.0,0.0,668,5882,36,0,Medium Risk
51,125570,1.0,1.0,651,42529,60,0,Medium Risk
50,28702,0.0,,625,43635,48,0,Medium Risk
67,20384,,1.0,580,34535,24,0,Medium Risk
27,20404,0.0,0.0,721,17869,36,0,Medium Risk
56,60943,0.0,0.0,660,12166,48,0,Medium Risk
62,67926,1.0,0.0,758,17982,48,0,Medium Risk
58,49189,0.0,,697,45697,24,0,Medium Risk
45,32763,1.0,0.0,677,43115,60,0,Medium Risk
50,38384,0.0,0.0,628,12269,36,0,Medium Risk
67,80100,0.0,1.0,595,33064,24,0,Medium Risk
52,118142,1.0,0.0,639,18527,24,0,Medium Risk
56,29860,0.0,0.0,593,7454,12,0,Medium Risk
54,124293,0.0,1.0,682,25878,60,1,High Risk
42,100642,1.0,1.0,731,17991,24,0,Medium Risk
53,70612,0.0,1.0,636,7808,24,0,Medium Risk
44,43574,1.0,,697,44410,60,1,High Risk
54,43524,0.0,1.0,615,41593,36,0,Medium Risk
24,89172,1.0,1.0,634,41304,12,0,Medium Risk
39,30916,1.0,0.0,609,35386,12,1,High Risk
46,24809,,0.0,543,8802,24,0,High Risk
63,52201,1.0,0.0,648,33753,24,0,Medium Risk
52,73330,0.0,,656,26083,48,0,Medium Risk
24,33456,1.0,1.0,703,23354,24,0,Medium Risk
61,133748,0.0,,689,27190,24,0,Medium Risk
67,76397,0.0,1.0,690,11142,48,1,High Risk
45,141288,0.0,0.0,601,33398,48,0,Medium Risk
53,58765,0.0,0.0,672,46862,36,0,Medium Risk
68,54816,0.0,1.0,729,38132,36,0,Low Risk
43,65106,1.0,0.0,668,24503,36,1,High Risk
44,73932,1.0,0.0,741,39631,36,0,Medium Risk
23,37100,1.0,1.0,750,21499,36,1,High Risk
48,77091,0.0,0.0,636,44852,36,1,High Risk
63,41949,,1.0,615,13016,60,0,Medium Risk
23,90080,0.0,1.0,611,7384,12,0,Medium Risk
47,57744,0.0,1.0,574,20072,48,0,High Risk
38,65543,0.0,1.0,624,41703,24,0,Medium Risk
61,128319,0.0,1.0,710,19482,48,0,Low Risk
54,112193,1.0,1.0,539,45510,48,0,High Risk
30,56187,0.0,1.0,598,26826,60,0,Medium Risk
64,132734,0.0,1.0,643,7490,12,0,Medium Risk
69,27239,0.0,1.0,606,30518,36,0,Medium Risk
60,144454,0.0,1.0,623,29045,36,0,Medium Risk
50,34489,0.0,1.0,624,31910,48,1,High Risk
63,134937,1.0,1.0,637,29566,36,0,Medium Risk
47,78017,0.0,,613,38905,36,1,High Risk
56,81877,0.0,1.0,609,32103,36,0,Medium Risk
46,63125,0.0,,696,41188,36,0,Medium Risk
45,69922,1.0,1.0,702,10845,36,1,High Risk
34,114074,1.0,0.0,580,26162,24,0,Medium Risk
28,52049,1.0,1.0,512,41674,60,0,High Risk
57,57131,,1.0,703,24337,48,0,Medium Risk
66,62944,0.0,0.0,588,27313,60,0,Medium Risk
41,135765,0.0,0.0,660,31943,24,0,Medium Risk
22,93963,1.0,0.0,571,17413,60,0,High Risk
29,126884,1.0,0.0,714,5276,60,0,Medium Risk
67,145917,,,777,22611,48,0,Low Risk
37,44285,1.0,,659,44105,48,0,Medium Risk
35,57626,1.0,1.0,645,16944,36,0,Medium Risk
33,62808,,1.0,633,20906,60,0,Medium Risk
44,108464,1.0,1.0,689,25536,36,0,Medium Risk
36,73871,1.0,1.0,678,32810,12,1,High Risk
49,39198,,1.0,700,17306,36,0,Medium Risk
55,39758,,0.0,618,15503,60,0,Medium Risk
23,35254,0.0,0.0,667,24225,60,0,Medium Risk
53,64238,,1.0,622,41976,60,0,Medium Risk
44,21252,0.0,0.0,597,16590,48,0,Medium Risk
43,59764,0.0,1.0,647,15886,24,0,Medium Risk
46,97709,1.0,0.0,603,17866,24,0,Medium Risk
43,57441,0.0,,708,6088,24,1,High Risk
43,112234,0.0,0.0,606,8363,12,0,Medium Risk
63,73682,0.0,1.0,668,37792,36,0,Medium Risk
27,79494,0.0,1.0,619,14764,24,0,Medium Risk
36,101317,1.0,,663,25620,36,0,Medium Risk
64,85215,0.0,1.0,623,47727,60,0,Medium Risk
58,98587,0.0,,587,17935,36,0,Medium Risk
54,125185,0.0,,674,13068,60,0,Medium Risk
29,26949,1.0,1.0,638,12295,48,0,Medium Risk
65,127825,1.0,1.0,664,46160,24,0,Medium Risk
65,75393,0.0,1.0,628,16390,36,1,High Risk
26,93553,0.0,0.0,583,46216,12,0,Medium Risk
60,26941,0.0,1.0,704,25131,36,1,High Risk
25,45934,,1.0,686,34218,48,0,Medium Risk
27,43386,,,621,15433,12,1,High Risk
66,145362,0.0,0.0,653,20038,24,0,Medium Risk
53,81886,0.0,1.0,702,33182,36,0,Low Risk
51,95745,0.0,0.0,627,16528,60,0,Medium Risk
68,103251,1.0,0.0,634,26281,48,1,High Risk
56,114456,0.0,1.0,662,13605,48,1,High Risk
61,73413,0.0,,627,39782,24,1,High Risk
37,76800,0.0,0.0,692,6381,48,1,High Risk
34,117239,0.0,0.0,641,6098,48,0,Medium Risk
63,62318,1.0,,610,24810,48,0,Medium Risk
51,139803,0.0,1.0,680,29322,60,0,Medium Risk
40,90173,,0.0,592,46869,36,1,High Risk
38,90390,1.0,,750,37955,60,0,Medium Risk
40,72329,0.0,0.0,729,49716,60,0,Low Risk
49,142418,0.0,1.0,675,15207,12,0,Medium Risk
47,63088,1.0,,671,26793,36,0,Medium Risk
58,136868,0.0,0.0,669,7092,60,0,Medium Risk
47,123196,0.0,1.0,625,33220,24,1,High Risk
44,59811,1.0,1.0,664,23514,36,0,Medium Risk
30,134825,0.0,,603,43010,60,0,Medium Risk
33,75479,0.0,,675,13549,36,1,High Risk
22,105392,0.0,1.0,693,27031,24,0,Medium Risk
22,107369,1.0,1.0,631,10185,36,0,Medium Risk
68,137520,0.0,1.0,620,20271,24,1,High Risk
55,39963,0.0,0.0,589,10776,36,0,Medium Risk
53,75123,0.0,1.0,722,17449,12,0,Low Risk
69,145911,0.0,,624,29297,48,0,Medium Risk
46,122468,0.0,1.0,640,45591,36,1,High Risk
61,112705,0.0,0.0,665,20717,48,0,Medium Risk
66,93477,0.0,0.0,664,45123,48,0,Medium Risk
22,34388,0.0,1.0,687,44233,36,0,Medium Risk
37,25569,0.0,1.0,631,15350,48,0,Medium Risk
60,89836,0.0,1.0,593,35622,24,1,High Risk
26,124573,0.0,0.0,584,40323,36,1,High Risk
43,56586,0.0,0.0,621,7951,24,0,Medium Risk
50,147018,1.0,1.0,602,22622,60,0,Medium Risk
24,32015,0.0,0.0,634,9727,12,0,Medium Risk
33,65002,0.0,0.0,715,43454,36,0,Low Risk
47,136594,0.0,,631,41469,48,0,Medium Risk
37,26254,1.0,1.0,631,40548,36,0,Medium Risk
58,37144,1.0,,649,28782,12,0,Medium Risk
43,44214,0.0,1.0,629,33454,36,1,High Risk
50,125654,0.0,0.0,646,7368,48,0,Medium Risk
35,100719,1.0,1.0,677,20592,48,0,Medium Risk
49,91774,0.0,1.0,694,27173,36,0,Medium Risk
26,26090,0.0,,700,38204,36,0,Medium Risk
68,31637,0.0,1.0,752,40596,36,1,High Risk
51,42415,0.0,1.0,678,39324,48,1,High Risk
67,44071,1.0,1.0,761,28864,36,1,High Risk
26,78243,1.0,1.0,611,35750,36,0,Medium Risk
33,130951,0.0,1.0,754,15576,24,0,Low Risk
37,145827,0.0,1.0,630,21566,12,0,Medium Risk
47,128215,1.0,,635,12190,24,1,High Risk
47,61240,1.0,,644,28071,24,0,Medium Risk
69,146146,,1.0,639,43333,36,0,Medium Risk
42,103807,1.0,1.0,654,20369,48,0,Medium Risk
60,121570,1.0,1.0,620,29035,24,0,Medium Risk
57,53434,1.0,1.0,691,6589,60,0,Medium Risk
54,89724,0.0,1.0,622,30235,12,0,Medium Risk
51,135359,0.0,0.0,682,5159,48,1,High Risk
58,95697,1.0,,726,17145,48,0,Medium Risk
44,48732,0.0,1.0,632,20373,36,1,High Risk
31,141465,1.0,0.0,689,36921,12,0,Medium Risk
26,31314,0.0,1.0,677,44323,48,0,Medium Risk
57,43954,0.0,1.0,762,21237,36,0,Medium Risk
55,77108,0.0,0.0,624,46971,60,0,Medium Risk
52,107044,0.0,0.0,689,13244,36,0,Medium Risk
31,107505,1.0,1.0,568,19743,60,0,High Risk
40,131195,1.0,1.0,625,36566,24,0,Medium Risk
53,123081,1.0,1.0,667,23691,48,0,Medium Risk
22,56668,,1.0,719,38996,48,0,Medium Risk
26,43061,0.0,1.0,588,10590,48,0,Medium Risk
66,99252,0.0,1.0,689,10585,24,0,Medium Risk
